Type,ID,a,b,c,pmin,pmax,i-2,i-1,i+1,i+2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G,1,0.08,2.25,0,30,60,13,14,2,3,46,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
G,2,0.062,4.2,0,20,50,14,1,3,4,28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
G,3,0.075,3.25,0,30,55,1,2,4,5,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
L,4,0.072,8.25,0,10,30,2,3,5,6,32,12,-12,-12,-12,-12,-14,-17,-20,-19,-17,-16,-15,-15,-15,-15,-15,-17,-20,-23,-25,-20,-15,-13,-10
L,5,0.066,7.2,0,5,20,3,4,6,7,18,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
G,6,0.07,4.05,0,20,50,4,5,7,8,27,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
B,7,0.35,0,0,-25,25,5,6,8,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,8,0.075,7.8,0,10,30,6,7,9,10,24,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
L,9,0.06,8.05,0,15,35,7,8,10,11,34,15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
L,10,0.078,8.45,0,15,35,8,9,11,12,32,15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
L,11,0.08,8.75,0,15,40,9,10,12,13,35,15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
L,12,0.085,9,0,15,40,10,11,13,14,36,15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
L,13,0.069,7.05,0,0,15,11,12,14,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,14,0.077,8.15,0,10,35,12,13,1,2,28,15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-2,-2,-2,-2,-2,-4,-7,-10,-9,-7,-6,-5,-5,-5,-5,-5,-7,-10,-13,-15,-10,-5,-3,0